sampler,seed,step_size,mean_x1,mean_x2,std_x1,std_x2,left_mode_fraction,right_mode_fraction,mean_energy,mode_imbalance,acceptance_rate
ULA,0,0.005,0.039649998985539635,0.029922255595192716,0.988965823703893,0.9852649433552063,0.48828125,0.51171875,0.7123351201800108,0.01171875,
MALA,0,0.005,0.007596439559730064,0.0017143111123743907,1.0073204605443853,1.0782380333281074,0.490234375,0.509765625,0.7936726162869359,0.009765625,0.99974609375
ULA,1,0.005,-0.08149035674154922,-0.06885184048552881,0.9969490729651614,1.0164017912872676,0.5546875,0.4453125,0.7475930901484311,0.0546875,
MALA,1,0.005,-0.03853710871601509,-0.05978782014586686,1.0369327302989115,0.9695007440554003,0.5078125,0.4921875,0.7634429456567278,0.0078125,0.99980859375
ULA,2,0.005,-0.015774815154412803,0.06855682922907043,0.9967992872950919,1.0584774098151786,0.498046875,0.501953125,0.7863787143348899,0.001953125,
MALA,2,0.005,0.029041887753721126,0.04601661387950531,1.0257391410549763,1.0306313589131122,0.494140625,0.505859375,0.7949485504275458,0.005859375,0.99980859375
ULA,3,0.005,0.03790756590764319,0.0268056230067998,1.0257481329907503,1.0015215034081946,0.486328125,0.513671875,0.7375427847646341,0.013671875,
MALA,3,0.005,0.037494778769469536,0.022885284753392104,1.0281145540700032,1.00791808898952,0.4765625,0.5234375,0.7243807144144421,0.0234375,0.99976953125
ULA,4,0.005,-0.06547834961575638,-0.004298700938974529,1.0364697149471371,0.9737607800308626,0.537109375,0.462890625,0.7107577987928756,0.037109375,
MALA,4,0.005,-0.0671897997678376,0.015011384985861144,1.0073970023869245,1.0236655562153092,0.517578125,0.482421875,0.7555718188499163,0.017578125,0.99980859375
ULA,0,0.02,0.06681547234280126,0.060614171371470356,0.9920869059840214,1.02088781676787,0.44921875,0.55078125,0.7735667880199835,0.05078125,
MALA,0,0.02,-0.00885149295817493,-0.016390270481422053,0.9975231402932836,1.037432594861361,0.482421875,0.517578125,0.7850885710091591,0.017578125,0.99833984375
ULA,1,0.02,-0.01075706792685117,-0.07023946510923608,0.9930141438436136,1.0114329593105282,0.501953125,0.498046875,0.739097712640826,0.001953125,
MALA,1,0.02,0.019777774624755627,-0.038315707225331216,1.0269747411462284,0.9783200138715533,0.482421875,0.517578125,0.7530767538853349,0.017578125,0.9984765625
ULA,2,0.02,0.004016460228701561,0.06676219100349644,0.9841328887808567,1.0354610488677018,0.484375,0.515625,0.7503604683893919,0.015625,
MALA,2,0.02,-0.0042507331936994,0.04592581948722896,1.034381209605012,0.9695944884365181,0.515625,0.484375,0.7277951759612831,0.015625,0.99837890625
ULA,3,0.02,-0.013371278172199151,0.03666752455932195,1.026255173444813,0.9921616656821518,0.48828125,0.51171875,0.732783056491041,0.01171875,
MALA,3,0.02,0.04039655331617672,-0.011561708004781214,1.0054606774600454,1.0219998886017774,0.478515625,0.521484375,0.7541206349840136,0.021484375,0.99828125
ULA,4,0.02,-0.10187339318004568,-0.030388317020336328,1.0294700569299493,0.9896533267598947,0.54296875,0.45703125,0.752698766472979,0.04296875,
MALA,4,0.02,-0.0619055108483243,0.01876623149214128,1.0150260220205096,1.0263722757107292,0.53515625,0.46484375,0.788291211762133,0.03515625,0.99834375
ULA,0,0.05,0.045719341291753854,0.06030672381284354,0.9969290393364924,1.059931853291612,0.478515625,0.521484375,0.8118791715890846,0.021484375,
MALA,0,0.05,-0.01086230996994407,-0.016450069376710945,1.0171500466550176,0.9857272578296368,0.486328125,0.513671875,0.7323626783489859,0.013671875,0.99336328125
ULA,1,0.05,-0.004138423412621255,-0.09262738080363701,0.9779354315582064,1.0082321682801412,0.5,0.5,0.7333205003947704,0.0,
MALA,1,0.05,0.024017724913574623,-0.019015587454129856,1.0060540251693384,1.00740238287412,0.484375,0.515625,0.7407434521777916,0.015625,0.99387890625
ULA,2,0.05,0.0048074765464475415,0.034277343923040576,0.9644297969112413,1.0171126976811204,0.50390625,0.49609375,0.7057246446113838,0.00390625,
MALA,2,0.05,-0.058125867139775675,0.017724848122644542,1.0253738655173608,0.9534132658392421,0.5390625,0.4609375,0.6957081818101487,0.0390625,0.99363671875
ULA,3,0.05,-0.025156900326292933,0.045607246073649674,1.0085727877955395,1.0176686855461001,0.5,0.5,0.7592752617343896,0.0,
MALA,3,0.05,0.012149300307495933,-0.0010806843868464769,1.0141201191624967,1.0169583631269326,0.48046875,0.51953125,0.7593228612420396,0.01953125,0.99340234375
ULA,4,0.05,-0.1113838980176319,-0.00825698279389556,1.044106321628621,1.0138721023685844,0.541015625,0.458984375,0.7803212198447793,0.041015625,
MALA,4,0.05,-0.04328897214377957,0.0350595085665934,1.0285914740330768,1.0175727055005928,0.5234375,0.4765625,0.7672632751329488,0.0234375,0.99369140625
ULA,0,0.1,-0.0012060435128794962,0.044118156907764175,0.9987138678600781,1.082210086605989,0.501953125,0.498046875,0.828677624207525,0.001953125,
MALA,0,0.1,-0.020192883095166776,-0.0076120974455657076,1.036977248781146,0.9754122125397306,0.48828125,0.51171875,0.7121847752144556,0.01171875,0.98205078125
